,aoa_bin,set,filename,word,filler1.filename,filler1.word,filler2.filename,filler2.word,filler3.filename,filler3.word,trial
1,"(3,3.5]",1,cookie.jpg,cookie,crayon.jpg,crayon,crayon.jpg,crayon,crayon.jpg,crayon,1
1,"(3,3.5]",1,cookie.jpg,cookie,pants.jpg,pants,crayon.jpg,crayon,orange.jpg,orange,1
2,"(3,3.5]",2,pants.jpg,pants,cookie.jpg,cookie,orange.jpg,orange,crayon.jpg,crayon,2
3,"(3.5,4]",2,plant01.jpg,plant,shirt02.jpg,shirt,book01b.jpg,book,candy.jpg,candy,3
4,"(3.5,4]",2,key01.jpg,key,boot02b.jpg,boot,banana.jpg,banana,plant01.jpg,plant,4
5,"(3.5,4]",2,plate01b.jpg,plate,lamp04a.jpg,lamp,book01b.jpg,book,fork03c.jpg,fork,5
6,"(3.5,4]",2,boot02b.jpg,boot,key01.jpg,key,plate01b.jpg,plate,grapes01.jpg,grape,6
7,"(3.5,4]",2,lamp04a.jpg,lamp,fork03c.jpg,fork,pear01.jpg,pear,banana.jpg,banana,7
8,"(3.5,4]",2,candy.jpg,candy,shirt02.jpg,shirt,pear01.jpg,pear,grapes01.jpg,grape,8
9,"(4,4.5]",3,scissors01.jpg,scissors,toothbrush03b.jpg,toothbrush,watermelon.jpg,watermelon,knife05.jpg,knife,9
10,"(4,4.5]",3,apple07.jpg,apple,watch02a.jpg,watch,watermelon.jpg,watermelon,toothbrush03b.jpg,toothbrush,10
11,"(4,4.5]",3,clock01a.jpg,clock,bowl02.jpg,bowl,balloon01b.jpg,balloon,shoelace.jpg,shoelace,11
12,"(4,4.5]",3,strawberry.jpg,strawberry,bowl02.jpg,bowl,clock01a.jpg,clock,knife05.jpg,knife,12
13,"(4,4.5]",3,watermelon.jpg,watermelon,pencil01.jpg,pencil,scissors01.jpg,scissors,strawberry.jpg,strawberry,13
14,"(4,4.5]",3,watch02a.jpg,watch,shoelace.jpg,shoelace,pencil01.jpg,pencil,apple07.jpg,apple,14
