target,filler1,filler2,filler3,set
wog,bab,jat,seb,1
mot,jit,vot,zam,1
tob,fut,wub,vab,1
bax,tam,nud,rix,1
fug,bip,lat,tid,1
vut,sab,ret,nar,1
som,vum,mun,nam,2
dat,dut,dit,tet,2
feg,fet,fep,fod,2
fub,fud,fup,fip,2
lev,leb,rab,lef,2
hix,gix,hax,hox,2
haso,yerd,trom,muld,3
sode,dake,hown,cime,3
mave,gike,cefe,wiso,3
kish,hift,aggs,wown,3
dest,awat,juso,hily,3
gife,tery,sost,kint,3
trop,drup,trep,tlop,4
gand,honb,gamd,gunf,4
walp,walb,wald,walf,4
frem,brem,fram,pren,4
rord,lorb,rorf,lold,4
hilf,gerf,gilf,hulf,4
borry,goins,plass,woray,5
wrout,broms,smong,roult,5
radia,truld,guars,armen,5
viven,forry,yeans,yoult,5
wrove,rould,unted,thugh,5
coses,shums,laris,wided,5
forod,barod,pirit,forob,6
frace,fraco,flace,drace,6
grong,gring,gromg,gramg,6
plail,plair,ploir,prail,6
telks,derks,tolks,tarks,6
twint,twimt,twunt,twont,6
ranond,ranont,ramomp,renond,7
pinter,pimter,pamter,pintel,7
plenod,plenot,plened,flemod,7
retind,redimd,letind,retumd,7
behorn,peholn,fehorm,dehorn,7
bovidy,bavidy,bovity,fovity,7
bromble,brombre,blomblo,bramble,8
paldler,baldler,paltler,pardler,8
renched,remched,renchep,remchop,8
caporty,caforty,capilty,caborty,8
varldly,varlbry,vorlply,varldry,s
elderal,elteral,elferal,elderil,8
propider,propuder,propifel,fropidel,9
impublized,impublizet,inpublozed,impubrized,9
specifactive,specifacdeve,specifacdive,spicifactive,9
requented,requemted,requended,lequented,9
industment,indusdment,antustment,endustment,9
evideroon,eviperion,evaderuon,eviperoom,9
