set,aoa_bin,filename,word,filler1.filename,filler1.word,filler2.filename,filler2.word,filler3.filename,filler3.word,trial
1,"(3,3.5]",soap03a.jpg,soap,orange.jpg,orange,cookie.jpg,cookie,diaper01c.jpg,diaper,1
1,"(3,3.5]",pants.jpg,pants,cookie.jpg,cookie,diaper01c.jpg,diaper,crayon.jpg,crayon,2
1,"(3,3.5]",diaper01c.jpg,diaper,crayon.jpg,crayon,soap03a.jpg,soap,orange.jpg,orange,3
2,"(3.5,4]",boot02b.jpg,boot,pear01.jpg,pear,plant01.jpg,plant,book01b.jpg,book,4
2,"(3.5,4]",key01.jpg,key,candy.jpg,candy,fork03c.jpg,fork,shirt02.jpg,shirt,5
2,"(3.5,4]",plate01b.jpg,plate,plant01.jpg,plant,key01.jpg,key,pear01.jpg,pear,7
2,"(3.5,4]",lamp04a.jpg,lamp,banana.jpg,banana,grapes01.jpg,grape,doll.jpg,doll,8
2,"(3.5,4]",rice.jpg,rice,plate01b.jpg,plate,doll.jpg,doll,boot02b.jpg,boot,9
2,"(3.5,4]",book01b.jpg,book,rice.jpg,rice,banana.jpg,banana,lamp04a.jpg,lamp,10
3,"(4,4.5]",apple07.jpg,apple,watermelon.jpg,watermelon,scissors01.jpg,scissors,chalk.jpg,chalk,11
3,"(4,4.5]",clock01a.jpg,clock,knife05.jpg,knife,bowl02.jpg,bowl,toothbrush03b.jpg,toothbrush,12
3,"(4,4.5]",bowl02.jpg,bowl,scissors01.jpg,scissors,balloon01b.jpg,balloon,apple07.jpg,apple,13
3,"(4,4.5]",balloon01b.jpg,balloon,watch02a.jpg,watch,wheel01.jpg,wheel,chalk.jpg,chalk,15
3,"(4,4.5]",chalk.jpg,chalk,shoelace.jpg,shoelace,straw.jpg,straw,clock01a.jpg,clock,17
3,"(4,4.5]",watermelon.jpg,watermelon,toothbrush03b.jpg,toothbrush,pencil01.jpg,pencil,strawberry.jpg,strawberry,18
3,"(4.5,5]",button01.jpg,button,tomato01.jpg,tomato,peanut01.jpg,peanut,feather03a.jpg,feather,19
3,"(4.5,5]",sponge01.jpg,sponge,eraser.jpg,eraser,tomato01.jpg,tomato,peanut01.jpg,peanut,20
3,"(4.5,5]",belt02a.jpg,belt,button01.jpg,button,sponge01.jpg,sponge,bib.jpg,bib,21
3,"(4.5,5]",ring01.jpg,ring,potato02b.jpg,potato,leaf02a.jpg,leaf,baseball01a.jpg,baseball,25
3,"(4.5,5]",peanut01.jpg,peanut,necklace.jpg,necklace,lemon02.jpg,lemon,pizza.jpg,pizza,26
3,"(4.5,5]",marker01a.jpg,marker,bandaid01.jpg,bandaid,belt02a.jpg,belt,baseball01a.jpg,baseball,27
4,"(5,5.5]",comb02a.jpg,comb,rope03.jpg,rope,plum.jpg,plum,nail.jpg,nail,29
4,"(5,5.5]",hammer01.jpg,hammer,radish01.jpg,radish,candle01.jpg,candle,backpack01a.jpg,backpack,30
